bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
194555,1066340,2009-01-27,House,"On question of consideration of the bill",224,199,0,10,433
194555,1066341,2009-01-28,House,"On agreeing to the Camp amendment (A011) H.Amdt.22",170,266,0,2,438
194555,1066342,2009-01-28,House,"On agreeing to the Flake amendment (A007) H.Amdt.18",116,320,0,2,438
194555,1066343,2009-01-28,House,"On agreeing to the Neugebauer amendment (A005) H.Amdt.16",134,302,0,2,438
194555,1066344,2009-01-28,House,"On motion to recommit with instructions",159,270,0,3,432
194555,1066345,2009-01-28,House,"On passage",244,188,0,1,433
194555,1066346,2009-02-03,House,"Amendment SA 109 S.Amdt.109 RC# 34",52,45,0,2,99
194555,1066347,2009-02-03,House,"Motion to waive the Budget Act with respect to amendment SA 104 (Sect. 201, S. Con. Res. 21, 110th Congress) S.Amdt.104 RC# 35",71,26,0,2,99
194555,1066348,2009-02-03,House,"Motion to waive the Budget Act with respect to amendment SA 110 (the section within the amendment regarding an emergency designation) rejected in Senate S.Amdt.110 RC# 33",58,39,0,2,99
194555,1066349,2009-02-03,House,"Motion to waive the Budget Act with respect to amendment SA 112 (Sect. 201, S. Con. Res. 21, 110th Congress) rejected in Senate S.Amdt.112 RC# 36",42,55,0,2,99
194555,1066350,2009-02-04,House,"Amendment SA 179 S.Amdt.179 RC# 37",32,65,0,2,99
194555,1066351,2009-02-04,House,"Amendment SA 238 S.Amdt.238 RC# 39",35,62,0,2,99
194555,1066352,2009-02-04,House,"Amendment SA 279 S.Amdt.279 RC# 44",31,65,0,3,99
194555,1066353,2009-02-04,House,"Motion to waive the Budget Act with respect to amendment SA 168 (Sect. 201, S. Con. Res. 21, 110th Congress) rejected in Senate S.Amdt.168 RC# 38",36,61,0,2,99
194555,1066354,2009-02-04,House,"Motion to waive the Budget Act with respect to amendment SA 242 (Sect. 201, S. Con. Res. 21, 110th Congress) rejected in Senate S.Amdt.242 RC# 43",39,57,0,3,99
194555,1066355,2009-02-04,House,"Motion to waive the Budget Act with respect to amendment SA 262 rejected in Senate S.Amdt.262 RC# 41",38,59,0,2,99
194555,1066356,2009-02-04,House,"Motion to waive the Budget Act with respect to amendment SA 277 (Sect. 201, S. Con. Res. 21, 110th Congress) rejected in Senate S.Amdt.277 RC# 42",37,60,0,2,99
194555,1066357,2009-02-04,House,"Motion to waive the Budget Act with respect to amendment SA 278 rejected in Senate S.Amdt.278 RC# 40",44,53,0,2,99
194555,1066358,2009-02-05,House,"Amendment SA 140 S.Amdt.140 RC# 46",32,65,0,2,99
194555,1066359,2009-02-05,House,"Amendment SA 189 S.Amdt.189 RC# 47",43,54,0,2,99
194555,1066360,2009-02-05,House,"Motion to table amendment SA 176 rejected in Senate S.Amdt.176 RC# 50",1,96,0,2,99
194555,1066361,2009-02-05,House,"Motion to waive the Budget Act with respect to amendment SA 197 rejected in Senate S.Amdt.197 RC# 49",37,60,0,2,99
194555,1066362,2009-02-05,House,"Motion to waive the Budget Act with respect to amendment SA 353 rejected in Senate S.Amdt.353 RC# 48",35,62,0,2,99
194555,1066363,2009-02-05,House,"Motion to waive the Budget Act with respect to amendment SA 364 rejected in Senate S.Amdt.364 RC# 45",40,57,0,2,99
194555,1066364,2009-02-06,House,"Amendment SA 107 S.Amdt.107 RC# 56",45,51,0,3,99
194555,1066365,2009-02-06,House,"Amendment SA 176 S.Amdt.176 RC# 52",97,0,0,2,99
194555,1066366,2009-02-06,House,"Amendment SA 297 S.Amdt.297 RC# 54",47,49,0,3,99
194555,1066367,2009-02-06,House,"Amendment SA 309 S.Amdt.309 RC# 51",73,24,0,2,99
194555,1066368,2009-02-06,House,"Amendment SA 501 S.Amdt.501 RC# 53",39,57,0,3,99
194555,1066369,2009-02-06,House,"Amendment SA 531 S.Amdt.531 RC# 57",41,55,0,3,99
194555,1066370,2009-02-06,House,"Motion to waive the Budget Act with respect to amendment SA 274 S.Amdt.274 RC# 55",80,16,0,3,99
194555,1066371,2009-02-07,House,"Motion to waive the Budget Act with respect to amendment SA 538 rejected in Senate S.Amdt.538 RC# 58",35,61,0,3,99
194555,1066372,2009-02-09,House,"Cloture on Amendment SA 570 S.Amdt.570 RC# 59",61,36,0,2,99
194555,1066373,2009-02-10,House,"Motion to waive section 201, S.Con.Res. 21, 110th Congress, with respect to amendment SA 570 S.Amdt.570 RC# 60",61,37,0,1,99
194555,1066374,2009-02-10,House,"On motion that the House instruct conferees",403,0,0,29,432
194555,1066375,2009-02-10,House,"Passed Senate with an amendment RC# 61",61,37,0,1,99
194555,1066376,2009-02-13,House,"Motion to waive the Budget Act (Sec. 204(a)(5)(A) of S.Con.Res. 21, 110th Congress) with respect to the conference report to accompany H.R. 1 (the section within the conference report regarding the emergency designation) RC# 63",60,38,0,1,99
194555,1066377,2009-02-13,House,"On agreeing to the conference report",246,183,1,3,433
194555,1066378,2009-02-13,House,"On motion to recommit with instructions to conference committee",186,244,0,3,433
194555,1066379,2009-02-13,House,"On question of consideration of conference report",232,195,0,5,432
194555,1066380,2009-02-13,House,"Senate agreed to conference report RC# 64",60,38,0,1,99
194556,1066381,2009-01-14,House,"On motion to recommit with instructions",179,247,0,7,433
194556,1066382,2009-01-14,House,"On passage",289,139,0,6,434
194556,1066383,2009-01-27,House,"Motion to table amendment SA 43 S.Amdt.43 RC# 16",60,37,0,2,99
194556,1066384,2009-01-28,House,"Amendment SA 40 S.Amdt.40 RC# 18",32,65,0,2,99
194556,1066385,2009-01-28,House,"Amendment SA 46 S.Amdt.46 RC# 22",42,56,0,1,99
194556,1066386,2009-01-28,House,"Amendment SA 65 S.Amdt.65 RC# 19",37,60,0,2,99
194556,1066387,2009-01-28,House,"Amendment SA 75 S.Amdt.75 RC# 21",36,60,0,3,99
194556,1066388,2009-01-28,House,"Amendment SA 77 S.Amdt.77 RC# 23",47,51,0,1,99
194556,1066389,2009-01-28,House,"Motion to table amendment SA 67 S.Amdt.67 RC# 20",64,33,0,2,99
194556,1066390,2009-01-29,House,"Amendment SA 47 S.Amdt.47 RC# 24",36,62,0,1,99
194556,1066391,2009-01-29,House,"Amendment SA 63 as modified S.Amdt.63 RC# 29",55,43,0,1,99
194556,1066392,2009-01-29,House,"Amendment SA 80 S.Amdt.80 RC# 26",39,59,0,1,99
194556,1066393,2009-01-29,House,"Amendment SA 85 S.Amdt.85 RC# 27",40,58,0,1,99
194556,1066394,2009-01-29,House,"Amendment SA 86 S.Amdt.86 RC# 28",36,62,0,1,99
194556,1066395,2009-01-29,House,"Amendment SA 93 S.Amdt.93 RC# 30",17,81,0,1,99
194556,1066396,2009-01-29,House,"Motion to table amendment SA 74 S.Amdt.74 RC# 25",54,44,0,1,99
194556,1066397,2009-01-29,House,"Passed Senate with an amendment RC# 31",66,32,0,1,99
194556,1066398,2009-02-04,House,"On motion that the House agree to the Senate amendment",290,135,0,8,433
194692,1066399,2009-03-03,House,"On motion to suspend the rules and pass the bill, as amended",394,13,0,24,431
194692,1066400,2009-03-16,House,"Cloture on the motion to proceed to the measure RC# 99",73,21,0,5,99
194692,1066401,2009-03-18,House,"Motion to table amendment SA 675 S.Amdt.675 RC# 103",63,35,0,1,99
194692,1066402,2009-03-18,House,"Motion to table amendment SA 679 S.Amdt.679 RC# 102",65,33,0,1,99
194692,1066403,2009-03-18,House,"Motion to table amendment SA 680 S.Amdt.680 RC# 101",79,19,0,1,99
194692,1066404,2009-03-19,House,"Motion to table amendment SA 677 S.Amdt.677 RC# 104",58,39,0,2,99
194692,1066405,2009-03-19,House,"Motion to table amendment SA 683 S.Amdt.683 RC# 105",70,27,0,2,99
194692,1066406,2009-03-19,House,"Passed Senate, having acquired the requisite 60 vote majority, with an amendment and an amendment to the Title RC# 106",77,20,0,2,99
194692,1066407,2009-03-25,House,"On motion that the House agree to the Senate amendments",285,140,0,6,431
195496,1066408,2009-02-25,House,"On passage",245,178,0,8,431
195496,1066409,2009-03-03,House,"Amendment SA 592 S.Amdt.592 RC# 74",32,63,0,4,99
195496,1066410,2009-03-03,House,"Motion by Senator Ensign to commit to Senate Committee on Appropriations with instructions rejected in Senate RC# 75",33,61,0,5,99
195496,1066411,2009-03-03,House,"Motion by Senator Hutchison to commit to Senate Committee on Appropriations with instructions rejected in Senate RC# 76",40,55,0,4,99
195496,1066412,2009-03-04,House,"Amendment SA 596 S.Amdt.596 RC# 77",38,57,0,4,99
195496,1066413,2009-03-04,House,"Amendment SA 608 S.Amdt.608 RC# 78",37,58,0,4,99
195496,1066414,2009-03-04,House,"Amendment SA 610 S.Amdt.610 RC# 79",34,61,0,4,99
195496,1066415,2009-03-04,House,"Amendment SA 623 S.Amdt.623 RC# 80",43,52,0,4,99
195496,1066416,2009-03-05,House,"Amendment SA 599 S.Amdt.599 RC# 82",42,52,0,5,99
195496,1066417,2009-03-05,House,"Amendment SA 607 S.Amdt.607 RC# 81",39,55,0,5,99
195496,1066418,2009-03-05,House,"Amendment SA 613 S.Amdt.613 RC# 83",43,51,0,5,99
195496,1066419,2009-03-05,House,"Amendment SA 634 S.Amdt.634 RC# 85",41,53,0,5,99
195496,1066420,2009-03-05,House,"Motion to waive the Budget Act with respect to amendment SA 635 in Senate S.Amdt.635 RC# 84",26,68,0,5,99
195496,1066421,2009-03-09,House,"Amendment SA 593 S.Amdt.593 RC# 86",32,63,0,4,99
195496,1066422,2009-03-09,House,"Amendment SA 630 S.Amdt.630 RC# 87",34,61,0,4,99
195496,1066423,2009-03-09,House,"Amendment SA 631 S.Amdt.631 RC# 88",39,56,0,4,99
195496,1066424,2009-03-09,House,"Amendment SA 668 S.Amdt.668 RC# 89",42,53,0,4,99
195496,1066425,2009-03-10,House,"Amendment SA 615 S.Amdt.615 RC# 94",39,58,0,2,99
195496,1066426,2009-03-10,House,"Amendment SA 662 S.Amdt.662 RC# 92",47,50,0,2,99
195496,1066427,2009-03-10,House,"Amendment SA 673 S.Amdt.673 RC# 90",32,64,0,3,99
195496,1066428,2009-03-10,House,"Amendment SA 674 S.Amdt.674 RC# 91",38,59,0,2,99
195496,1066429,2009-03-10,House,"Motion to table amendment SA 604 S.Amdt.604 RC# 93",50,47,0,2,99
195496,1066430,2009-03-10,House,"Motion to table amendment SA 621 S.Amdt.621 RC# 95",52,45,0,2,99
195496,1066431,2009-03-10,House,"Second cloture on the bill RC# 96",62,35,0,2,99
196742,1066432,2009-06-26,House,"On agreeing to the Forbes amendment (A002) H.Amdt.287",172,256,0,5,433
196742,1066433,2009-06-26,House,"On passage",219,212,0,3,434
197686,1066434,2009-10-08,House,"On motion to suspend the rules and pass the bill",416,0,0,16,432
197686,1066435,2009-11-21,House,"Cloture on the motion to proceed to the bill RC# 353",60,39,0,1,100
197686,1066436,2009-12-03,House,"Amendment SA 2791 under the order of 12/2/2009, having achieved 60 votes in the affirmative, the amendment was S.Amdt.2791 RC# 355",61,39,0,0,100
197686,1066437,2009-12-03,House,"Amendment SA 2826 under the order of 12/2/2009, having achieved 60 votes in the affirmative, the amendment was S.Amdt.2826 RC# 357",100,0,0,0,100
197686,1066438,2009-12-03,House,"Amendment SA 2836 under the order of 12/2/2009, not having achieved 60 votes in the affirmative, the amendment was S.Amdt.2836 RC# 356",41,59,0,0,100
197686,1066439,2009-12-03,House,"Motion by Senator McCain to commit to Senate Committee on Finance under the order of 12/2/2009, not having achieved 60 votes in the affirmative, the motion was rejected in Senate RC# 358",42,58,0,0,100
197686,1066440,2009-12-04,House,"Amendment SA 2870 under the order of 12/4/2009, having achieved 60 votes in the affirmative, the amendment was S.Amdt.2870 RC# 359",98,0,0,2,100
197686,1066441,2009-12-04,House,"Amendment SA 2899 under the order of 12/4/2009, having achieved 60 votes in the affirmative, the amendment was S.Amdt.2899 RC# 361",97,1,0,2,100
197686,1066442,2009-12-04,House,"Amendment SA 2901 under the order of 12/4/2009, not having achieved 60 votes in the affirmative, the amendment was S.Amdt.2901 RC# 360",51,47,0,2,100
197686,1066443,2009-12-04,House,"Motion by Senator Hatch to commit to Senate Committee on Finance under the order of 12/4/2009, not having achieved 60 votes in the affirmative, the motion was rejected in Senate RC# 362",41,57,0,2,100
197686,1066444,2009-12-05,House,"Amendment SA 2926 under the order of 12/5/2009, having achieved 60 votes in the affirmative, the amendment was S.Amdt.2926 RC# 363",96,0,0,4,100
197686,1066445,2009-12-05,House,"Motion by Senator Johanns to commit to Senate Committee on Finance under the order of 12/5/2009, not having achieved 60 votes in the affirmative, the motion was rejected in Senate RC# 364",41,53,0,6,100
197686,1066446,2009-12-06,House,"Amendment SA 2905 under the order of 12/5/2009, not having achieved 60 votes in the affirmative, the amendment was S.Amdt.2905 RC# 365",56,42,0,2,100
197686,1066447,2009-12-06,House,"Amendment SA 2927 under the order of 12/5/2009, not having achieved 60 votes in the affirmative, the amendment was S.Amdt.2927 RC# 366",32,66,0,2,100
197686,1066448,2009-12-07,House,"Amendment SA 2939, under the order of 12/7/2009, having achieved 60 votes in the affirmative, the amendment was S.Amdt.2939 RC# 367",98,0,0,2,100
197686,1066449,2009-12-07,House,"Amendment SA 2942, under the order of 12/7/2009, not having achieved 60 votes in the affirmative, the amendment was S.Amdt.2942 RC# 368",43,56,0,1,100
197686,1066450,2009-12-08,House,"Motion by Senator McCain to commit to Senate Committee on Finance, under the order of 12/8/2009, not having achieved 60 votes in the affirmative, the motion was rejected in Senate RC# 370",42,57,0,1,100
197686,1066451,2009-12-08,House,"Motion to table amendment SA 2962 S.Amdt.2962 RC# 369",54,45,0,1,100
197686,1066452,2009-12-15,House,"Amendment SA 2793 under the order of 12/15/2009, not having achieved 60 votes in the affirmative, the amendment was S.Amdt.2793 RC# 377",51,48,0,1,100
197686,1066453,2009-12-15,House,"Amendment SA 3156 under the order of 12/15/2009, not having achieved 60 votes in the affirmative, the amendment was S.Amdt.3156 RC# 378",56,43,0,1,100
197686,1066454,2009-12-15,House,"Amendment SA 3183 under the order of 12/14/2009, having achieved 60 votes in the affirmative, the amendment was S.Amdt.3183 RC# 375",97,1,0,2,100
197686,1066455,2009-12-15,House,"Motion by Senator Crapo to commit to Senate Committee on Finance under the order of 12/14/2009, not having achieved 60 votes in the affirmative, the motion was rejected in Senate RC# 376",45,54,0,1,100
197686,1066456,2009-12-16,House,"Motion by Senator Hutchison to commit to Senate Committee on Finance tabled in Senate RC# 379",56,41,0,3,100
197686,1066457,2009-12-21,House,"Cloture on amendment SA 3276 S.Amdt.3276 RC# 385",60,40,0,0,100
197686,1066458,2009-12-22,House,"Amendment SA 3276 S.Amdt.3276 RC# 387",60,39,0,1,100
197686,1066459,2009-12-22,House,"Cloture on amendment SA 2786 S.Amdt.2786 RC# 388",60,39,0,1,100
197686,1066460,2009-12-22,House,"Motion to table amendment SA 3278 S.Amdt.3278 RC# 386",60,39,0,1,100
197686,1066461,2009-12-23,House,"Amendment SA 2786 (Ensign constitutional point of order) determined in order S.Amdt.2786 RC# 389",39,60,0,1,100
197686,1066462,2009-12-23,House,"Amendment SA 2786 (Hutchison point of order) determined in order S.Amdt.2786 RC# 392",39,60,0,1,100
197686,1066463,2009-12-23,House,"Amendment SA 2786 S.Amdt.2786 RC# 394",60,39,0,1,100
197686,1066464,2009-12-23,House,"Cloture RC# 395",60,39,0,1,100
197686,1066465,2009-12-23,House,"DeMint motion to suspend Rule XXII to permit the consideration of amendment SA 3297 tabled in Senate S.Amdt.2786 RC# 393",53,46,0,1,100
197686,1066466,2009-12-23,House,"Motion to table the appeal of the ruling of the chair that no rule XLIV point of order lies against amendment SA 2786 S.Amdt.2786 RC# 391",57,42,0,1,100
197686,1066467,2009-12-23,House,"Motion to waive the Budget Act with respect to amendment SA 2786 S.Amdt.2786 RC# 390",55,44,0,1,100
197686,1066468,2009-12-24,House,"Passed Senate with an amendment and an amendment to the Title RC# 396",60,39,0,1,100
197686,1066469,2010-03-21,House,"On motion that the House agree to the Senate amendments",219,212,0,0,431
198056,1066470,2009-11-19,House,"On motion to recommit with instructions",177,252,0,5,434
198056,1066471,2009-11-19,House,"On motion to table the motion to appeal the ruling of the chair",251,177,0,6,434
198056,1066472,2009-11-19,House,"On passage",243,183,0,8,434
198056,1066473,2010-02-25,House,"On motion that the House agree to the Senate amendments",315,97,0,20,432
198057,1066474,2009-11-07,House,"On agreeing to the Boehner amendment (A002) H.Amdt.510",176,258,0,0,434
198057,1066475,2009-11-07,House,"On agreeing to the Stupak amendment (A001) H.Amdt.509",240,194,1,0,435
198057,1066476,2009-11-07,House,"On motion to recommit with instructions",187,247,0,0,434
198057,1066477,2009-11-07,House,"On passage",220,215,0,0,435
198057,1066478,2010-06-24,House,"On motion that the House suspend the rules and concur in the Senate amendments",417,1,0,14,432
198249,1066479,2009-12-03,House,"On motion to recommit with instructions",187,233,0,14,434
198249,1066480,2009-12-03,House,"On motion to table the appeal of the ruling of the chair",234,186,0,14,434
198249,1066481,2009-12-03,House,"On passage",225,200,0,9,434
198268,1066482,2009-12-10,House,"On agreeing to the Frank (MA) amendment (A001) as modified H.Amdt.517",240,182,0,18,440
198268,1066483,2009-12-10,House,"On agreeing to the Frank (MA) amendment (A007) H.Amdt.523",150,280,0,10,440
198268,1066484,2009-12-10,House,"On agreeing to the Lynch amendment (A005) H.Amdt.521",228,202,0,10,440
198268,1066485,2009-12-10,House,"On agreeing to the Murphy (NY) amendment (A006) H.Amdt.522",304,124,0,12,440
198268,1066486,2009-12-10,House,"On agreeing to the Sessions amendment (A002) H.Amdt.518",172,257,0,11,440
198268,1066487,2009-12-10,House,"On agreeing to the Stupak amendment (A008) H.Amdt.524",98,330,0,12,440
198268,1066488,2009-12-10,House,"On agreeing to the Stupak amendment (A009) H.Amdt.525",150,279,0,11,440
198268,1066489,2009-12-11,House,"On agreeing to the Bachus amendment (A023) as modified H.Amdt.539",175,251,0,14,440
198268,1066490,2009-12-11,House,"On agreeing to the Kanjorski amendment (A011) H.Amdt.527",153,271,0,16,440
198268,1066491,2009-12-11,House,"On agreeing to the Marshall amendment (A018) H.Amdt.534",188,241,0,11,440
198268,1066492,2009-12-11,House,"On agreeing to the McCarthy (CA) amendment (A012) H.Amdt.528",166,259,0,15,440
198268,1066493,2009-12-11,House,"On agreeing to the Minnick amendment (A022) H.Amdt.538",208,223,0,10,441
198268,1066494,2009-12-11,House,"On agreeing to the Peters amendment (A015) H.Amdt.531",228,198,0,14,440
198268,1066495,2009-12-11,House,"On agreeing to the Schakowsky amendment (A020) H.Amdt.536",277,149,0,14,440
198268,1066496,2009-12-11,House,"On motion to recommit with instructions",190,232,0,12,434
198268,1066497,2009-12-11,House,"On passage",223,202,0,9,434
198268,1066498,2010-05-20,House,"Passed Senate in lieu of S. 3217 with an amendment and an amendment to the Title RC# 162",59,39,0,2,100
198268,1066499,2010-05-24,House,"Motion by Senator Brownback to instruct Senate conferees to insist that the final conference report include the House position relating to the exclusion for motor vehicle dealers from the rulemaking, supervisory, enforcement, or other authority granted to",60,30,0,10,100
198268,1066500,2010-05-24,House,"Motion by Senator Hutchison to instruct Senate conferees to insist that the final conference report ensure that proprietary trading restrictions do not prevent insurance company affiliates of depository institutions from engaging in such trading as part o",87,4,0,9,100
198268,1066501,2010-06-09,House,"On motion that the House instruct conferees",198,217,0,16,431
198268,1066502,2010-06-30,House,"On agreeing to the conference report",237,192,0,4,433
198268,1066503,2010-06-30,House,"On motion to recommit the conference report with instructions",198,229,0,5,432
198268,1066504,2010-07-15,House,"Cloture on the conference report to accompany H.R. 4173 RC# 206",60,38,0,1,99
198268,1066505,2010-07-15,House,"Motion to waive all applicable budgetary discipline with respect to the conference report RC# 207",60,39,0,0,99
198268,1066506,2010-07-15,House,"Senate agreed to conference report RC# 208",60,39,0,0,99
198308,1066507,2009-12-09,House,"On motion to table the motion to appeal the ruling of the chair",251,172,0,11,434
198308,1066508,2009-12-09,House,"On passage",241,181,0,12,434
198308,1066509,2010-03-03,House,"Motion to table amendment SA 3352 S.Amdt.3352 RC# 34",54,45,0,1,100
198308,1066510,2010-03-03,House,"Motion to table amendment SA 3360 S.Amdt.3360 RC# 37",56,41,0,3,100
198308,1066511,2010-03-03,House,"Motion to table amendment SA 3361 S.Amdt.3361 RC# 38",61,36,0,3,100
198308,1066512,2010-03-03,House,"Motion to waive sections of the Budget Act with respect to amendment SA 3336 S.Amdt.3336 RC# 39",60,37,0,3,100
198308,1066513,2010-03-03,House,"Motion to waive the Budget Act with respect to amendment SA 3338 rejected in Senate S.Amdt.3338 RC# 33",38,61,0,1,100
198308,1066514,2010-03-03,House,"Motion to waive the Budget Act with respect to amendment SA 3353 (the section within the amendment regarding an emergency designation) rejected in Senate S.Amdt.3353 RC# 36",47,50,0,3,100
198308,1066515,2010-03-03,House,"Motion to waive the Budget Act with respect to amendment SA 3390 (the section within the amendment regarding an emergency designation) rejected in Senate S.Amdt.3390 RC# 35",38,59,0,3,100
198308,1066516,2010-03-04,House,"Motion to waive the Budget Act with respect to amendment SA 3337 rejected in Senate S.Amdt.3337 RC# 42",59,41,0,0,100
198308,1066517,2010-03-04,House,"Motion to waive the Budget Act with respect to amendment SA 3389 rejected in Senate S.Amdt.3389 RC# 41",22,78,0,0,100
198308,1066518,2010-03-04,House,"Motion to waive the Budget Act with respect to amendment SA 3391 (the section within the amendment regarding an emergency designation) rejected in Senate S.Amdt.3391 RC# 40",44,56,0,0,100
198308,1066519,2010-03-09,House,"Amendment SA 3358 S.Amdt.3358 RC# 44",100,0,0,0,100
198308,1066520,2010-03-09,House,"Cloture on amendment SA 3336 S.Amdt.3336 RC# 46",66,34,0,0,100
198308,1066521,2010-03-09,House,"Motion to waive the Budget Act with respect to amendment SA 3356 rejected in Senate S.Amdt.3356 RC# 45",55,45,0,0,100
198308,1066522,2010-03-10,House,"Cloture on the bill RC# 47",66,33,0,1,100
198308,1066523,2010-03-10,House,"Passed Senate with an amendment RC# 48",62,36,0,2,100
198308,1066524,2010-05-28,House,"On concurring in Senate amendment with amendment (except portion comprising section 523)",215,204,0,13,432
198308,1066525,2010-05-28,House,"On concurring in Senate amendment with portion of amendment comprising section 523",245,171,0,16,432
198308,1066526,2010-06-09,House,"Amendment SA 4326 S.Amdt.4326 RC# 182",58,41,0,1,100
198308,1066527,2010-06-09,House,"Motion to table amendment SA 4302 rejected in Senate S.Amdt.4302 RC# 183",38,61,0,1,100
198308,1066528,2010-06-09,House,"Motion to table amendment SA 4325 S.Amdt.4325 RC# 180",55,44,0,1,100
198308,1066529,2010-06-09,House,"Motion to waive all applicable budgetary discipline with respect to amendment SA 4304 rejected in Senate S.Amdt.4304 RC# 179",57,42,0,1,100
198308,1066530,2010-06-09,House,"Motion to waive applicable budgetary discipline with respect to amendment SA 4303 rejected in Senate S.Amdt.4303 RC# 181",57,41,0,2,100
198308,1066531,2010-06-15,House,"Amendment SA 4311 as modified under the order of 6/15/10, having achieved 60 votes in the affirmative, S.Amdt.4311 RC# 189",63,33,0,4,100
198308,1066532,2010-06-15,House,"Amendment SA 4312 under the order of 6/15/10, not having achieved 60 votes in the affirmative, the amendment was S.Amdt.4312 RC# 188",48,49,0,3,100
198308,1066533,2010-06-15,House,"Amendment SA 4318 under the order of 6/15/10, not having achieved 60 votes in the affirmative, the amendment was S.Amdt.4318 RC# 187",35,61,0,4,100
198308,1066534,2010-06-16,House,"Amendment SA 4344 S.Amdt.4344 RC# 191",60,37,0,3,100
198308,1066535,2010-06-16,House,"Amendment SA 4351 under the order of 6/16/10, not having achieved 60 votes in the affirmative, S.Amdt.4351 RC# 192",45,52,0,3,100
198308,1066536,2010-06-16,House,"Motion to waive all budgetary discipline with respect to the measure (the motion to concur in the House amendment to the Senate amendment to the bill (H.R. 4213) with an amendment [SA 4301]) rejected in Senate S.Amdt.4301 RC# 190",45,52,0,3,100
198308,1066537,2010-06-17,House,"Cloture on the motion to concur in the House amendment to the Senate amendment with an amendment (SA 4369) RC# 194",56,40,0,4,100
198308,1066538,2010-06-17,House,"Motion to waive all applicable budgetary discipline with respect to amendment SA 4376 rejected in Senate S.Amdt.4376 RC# 193",41,57,0,2,100
